id;title;Type;Description
NBI-1061;Smart Task Suggestions for Pipelines;New Feature;Create a feature that suggests tasks for each stage of the pipeline based on historical success patterns and industry best practices.
NBI-1092;[Investigate] Error on Large Dataset Imports;Bug;Imports of large datasets sometimes result in timeout errors, leaving the process incomplete and requiring manual intervention.
NBI-1099;Customer invoice attachments missing;Bug;Attachments added to customer invoices are not being saved consistently, leading to incomplete records. This issue has been reported across multiple versions and disrupts documentation workflows. Fixing this will ensure invoices include all relevant files.
NBI-1120;Advanced customer segmentation tools;New Feature;Build a segmentation tool for categorizing customers based on purchase behavior, demographics, or engagement levels. Users should be able to create dynamic lists that auto-update based on defined criteria. Segmentation improves targeted marketing and customer engagement strategies.
NBI-1205;Dynamic Role Templates;New Feature;Create dynamic role templates that administrators can use to quickly set up permissions for new hires or temporary users. Templates should include predefined access levels and customizable options. This will streamline onboarding and role configuration.
NBI-1277;Investigation of Late Check-In Patterns;Investigation;Analyze patterns of late check-ins to identify common causes, such as shift timings, employee roles, or specific locations. The findings should inform adjustments to scheduling or notification settings.
NBI-1281;Time Zone Settings Ignored in Reports;Bug;Reports are not reflecting user-configured time zones, leading to inaccuracies in time-sensitive data. Users have flagged this issue for financial and activity-based reports. Ensuring proper alignment with preferences resolves these inconsistencies.
NBI-1308;Notification Suppression Not Honored for Critical Alerts;Bug;Notifications marked for suppression during specific hours are still being sent for critical alerts. Users have reported receiving these outside of their preferred notification windows. Fixing this ensures suppression rules are respected consistently.
NBI-1390;Pipeline: Opportunity stage not saving correctly;Bug;When updating the stage of an opportunity in the CRM pipeline, the change sometimes reverts back to the previous stage after refreshing the page. This issue seems to happen intermittently, especially when multiple users are working on the same pipeline. It’s likely connected to recent changes in how stage updates are handled in real-time collaboration.
NBI-1407;Multi-currency support for invoices;New Feature;Introduce multi-currency support for invoice creation and payments. The system should automatically convert amounts using the latest exchange rates and allow users to adjust rates manually if needed.
NBI-1432;API key expiration notifications;New Feature;Implement notifications for API key expiration to alert administrators and integration owners ahead of time. Notifications should be configurable for different lead times, such as 7 or 30 days before expiration. This will help prevent unexpected integration failures.
NBI-1442;Custom error pages management;New Feature;Provide a tool for designing and managing custom error pages for various HTTP status codes like 404 or 500. Administrators should be able to add branding and helpful links to these pages. Enhanced error handling improves user experience during unexpected issues.
NBI-1444;Task dependencies API;New Feature;Create an API to manage task dependencies, linking tasks with prerequisites or follow-ups. The API should include endpoints to retrieve, create, and update these relationships. This feature will improve project management and automation workflows.
NBI-1449;Opportunity Updates Not Triggering Webhooks;Bug;Updates to opportunity fields are not consistently triggering webhooks, resulting in outdated data in integrated systems. Developers have reported this issue for critical field changes like status and value. Ensuring reliable webhook triggers is essential for real-time synchronization.
NBI-1494;Faster Loading Times for Candidate Profiles;Improvement;Optimize the loading times for candidate profiles, particularly for profiles with multiple attachments and detailed histories. The system should prioritize loading key information first while fetching additional data in the background.
NBI-1517;Flexible invoicing templates;New Feature;Develop a feature to create flexible invoicing templates with modular components, such as custom headers, footers, and logo placements. Users should be able to preview and test templates before applying them. Templates should support regional compliance formatting requirements.
NBI-1566;Customizable Rejection Email Templates;Improvement;Allow recruiters to create and manage rejection email templates with options to include personalized messages. Templates should be categorized by reasons for rejection, such as lack of experience or cultural fit.
NBI-1571;Error when bulk updating Task priorities;Bug;Summary: Bulk updates for task priorities fail to apply correctly.  Steps to Reproduce:  1. Select multiple tasks in the Planning module.  2. Apply a bulk update to change all task priorities to “High.”  3. Refresh the task list and verify the changes.  Actual Result: Only some tasks reflect the updated priority, while others remain unchanged.  Expected Result: All selected tasks should reflect the updated priority.
NBI-1581;Purchase Order Status update issue;Bug;After implementing a batch processing feature for validating purchase orders, the system intermittently fails to update the status of some purchase orders from “Draft” to “Validated.” This issue seems to occur when multiple orders are processed simultaneously, suggesting a potential race condition in the status update logic. The incorrect status prevents the orders from moving forward in the workflow, blocking receipt generation and payment processing. Developers suspect the database transaction handling may need optimization to ensure consistent updates.
NBI-1631;Unified Activity Summary Report;New Feature;Create a summary report that consolidates all activities across leads, contacts, and opportunities. Include filters for time periods, activity types, and team members.
NBI-1635;Opportunity Stage Changes Not Saving;Bug;Users have reported that changes to opportunity stages are not being saved consistently, causing discrepancies in the pipeline view.
NBI-1679;Add button has wrong color;Bug;Fix the “Add” button to use the correct blue color.
NBI-1686;Multi-event dashboard for organizers;New Feature;Develop a dashboard for event organizers to view and manage multiple events simultaneously. The dashboard should display metrics like total attendees, registration status, and revenue for each event.
NBI-1707;analysis of lost opportunities;Investigation;Sales managers asked for insights into why opportunities are lost and how to address them. We are analyzing feedback and system usage to identify patterns in lost opportunities. This investigation will guide future improvements in reporting and deal recovery workflows.
NBI-1711;Error messages missing for bulk updates;Bug;Bulk updates in the admin panel fail silently, providing no error messages for failed entries. Administrators have difficulty diagnosing these issues. Adding detailed error messages improves troubleshooting efficiency.
NBI-1728;DocumentManagement API;New Feature;Build an API to upload, retrieve, and manage documents attached to CRM records like opportunities or contacts. It should support metadata tags and file previews. This will improve the efficiency of integrating document workflows into the CRM.
NBI-1796;Comprehensive CRM Localization;Epic;An initiative to ensure that the CRM is fully localized for global users, including language support, region-specific settings, and timezone adjustments.
NBI-1819;Faster search for customer records;Improvement;Optimize the search functionality for customer records by implementing predictive typing and fuzzy matching. Users should see search results update dynamically as they type. Filters like location, recent interactions, and tags should also be available for refining results.
NBI-1881;Redesign of ticket management interface;Epic;Redesign the ticket management interface to improve usability and efficiency. Include features like drag-and-drop ticket assignment, advanced filtering options, and real-time updates.
NBI-1890;Enhanced Default Email Signature Management;Improvement;Allow users to save multiple email signatures and choose a default signature in their preferences. The system should also support role-based defaults for standardized communication. The update provides users with more flexibility in managing email templates.
NBI-1948;Enhanced navigation bar design;Improvement;Redesign the navigation bar to include larger icons, a customizable quick-access menu, and swipe gestures for switching between modules. Users should also have the option to hide unused modules. The improved design should make navigation more intuitive for all device sizes.
NBI-1971;Regional Sales Targets Dashboard;New Feature;Develop a dashboard to track sales targets and achievements by region. Include filtering options to compare performance across regions or territories.
NBI-1991;API returning incorrect field types;Bug;Certain endpoints are returning incorrect data types for custom fields, causing issues during data processing. This is particularly problematic for integrations that rely on strict typing. Fixing this will ensure consistent data handling across all integrations.
NBI-2163;Automated purchase order generation;New Feature;Add functionality to automatically generate purchase orders based on inventory levels and reorder rules. Users should be able to configure thresholds for individual products, and the system should suggest orders for approval when these thresholds are reached.
NBI-2175;Comprehensive purchase reporting updates;Epic;Enhance the purchase reporting module to include more metrics, such as supplier lead time performance, cost savings over time, and order accuracy. Tasks include updating the reporting interface, adding filters, and integrating visualizations.
NBI-2187;Customer value estimation tool;New Feature;Build a tool to estimate the lifetime value of customers based on historical purchases, engagement levels, and recurring revenue potential.
NBI-2216;API troubleshooting reference;Documentation;Document common API integration issues and their resolutions, providing developers with actionable steps for debugging problems.
